"","","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"South-East Asia"," 2018","2.48 [2.32-2.65]","2.78 [2.55-3]","2.16 [1.97-2.35]","88 796 [83 044-94 952]","51 712 [47 521-55 795]","37 084 [33 746-40 407]"
"South-East Asia"," 2017","2.71 [2.56-2.87]","3.03 [2.81-3.24]","2.36 [2.17-2.56]","97 403 [91 953-103 192]","56 668 [52 566-60 682]","40 735 [37 501-44 090]"
"South-East Asia"," 2016","2.95 [2.8-3.11]","3.28 [3.07-3.5]","2.59 [2.4-2.78]","106 415 [101 120-112 207]","61 642 [57 543-65 692]","44 773 [41 472-48 179]"
"South-East Asia"," 2015","3.23 [3.09-3.4]","3.57 [3.35-3.79]","2.87 [2.67-3.08]","117 027 [111 797-123 034]","67 228 [63 081-71 439]","49 799 [46 385-53 435]"
"South-East Asia"," 2014","3.48 [3.34-3.66]","3.82 [3.6-4.07]","3.12 [2.91-3.34]","126 777 [121 473-133 298]","72 406 [68 175-77 005]","54 371 [50 822-58 277]"
"South-East Asia"," 2013","3.79 [3.63-3.98]","4.12 [3.89-4.38]","3.42 [3.2-3.67]","138 468 [132 902-145 646]","78 462 [73 975-83 418]","60 006 [56 176-64 360]"
"South-East Asia"," 2012","4.11 [3.95-4.33]","4.44 [4.19-4.72]","3.75 [3.52-4.03]","151 238 [145 330-159 127]","85 070 [80 257-90 427]","66 168 [62 095-71 077]"
"South-East Asia"," 2011","4.46 [4.28-4.69]","4.78 [4.52-5.08]","4.11 [3.86-4.42]","165 144 [158 577-173 699]","92 126 [86 980-97 937]","73 018 [68 551-78 364]"
"South-East Asia"," 2010","4.83 [4.64-5.07]","5.12 [4.83-5.44]","4.51 [4.24-4.82]","179 504 [172 354-188 696]","99 047 [93 415-105 286]","80 457 [75 567-86 002]"
"South-East Asia"," 2009","5.23 [5.02-5.48]","5.48 [5.17-5.82]","4.96 [4.66-5.29]","194 698 [187 014-204 134]","106 298 [100 198-112 745]","88 400 [83 098-94 326]"
"South-East Asia"," 2008","6.14 [5.86-6.47]","6.33 [5.86-6.73]","5.93 [5.46-6.34]","228 227 [217 862-240 761]","122 638 [113 506-130 432]","105 589 [97 248-112 967]"
"South-East Asia"," 2007","5.94 [5.72-6.21]","6.11 [5.77-6.47]","5.76 [5.41-6.11]","220 364 [211 884-230 203]","118 067 [111 398-124 891]","102 297 [96 113-108 494]"
"South-East Asia"," 2006","6.29 [6.05-6.56]","6.42 [6.05-6.77]","6.16 [5.78-6.51]","232 242 [223 442-242 310]","123 388 [116 268-130 226]","108 854 [102 179-115 177]"
"South-East Asia"," 2005","6.62 [6.37-6.9]","6.7 [6.32-7.06]","6.53 [6.13-6.89]","243 137 [234 134-253 353]","128 247 [120 910-135 118]","114 890 [107 846-121 350]"
"South-East Asia"," 2004","7.53 [7.25-7.83]","7.52 [7.1-7.9]","7.54 [7.1-7.94]","275 524 [265 418-286 736]","143 272 [135 244-150 614]","132 252 [124 553-139 403]"
"South-East Asia"," 2003","7.27 [7.02-7.56]","7.26 [6.83-7.63]","7.28 [6.84-7.67]","264 806 [255 509-275 298]","137 642 [129 414-144 656]","127 164 [119 393-133 944]"
"South-East Asia"," 2002","7.62 [7.36-7.91]","7.57 [7.1-7.93]","7.68 [7.21-8.08]","276 089 [266 468-286 702]","142 486 [133 762-149 356]","133 603 [125 350-140 476]"
"South-East Asia"," 2001","8.01 [7.73-8.31]","7.9 [7.41-8.28]","8.13 [7.62-8.54]","288 648 [278 502-299 390]","147 869 [138 597-154 947]","140 779 [131 817-147 810]"
"South-East Asia"," 2000","8.45 [8.16-8.75]","8.26 [7.74-8.65]","8.65 [8.1-9.06]","302 517 [291 949-313 473]","153 524 [143 716-160 811]","148 993 [139 517-156 018]"
"South-East Asia"," 1999","8.93 [8.62-9.24]","8.68 [8.12-9.08]","9.2 [8.62-9.62]","317 731 [306 808-328 809]","160 102 [149 730-167 479]","157 629 [147 708-164 957]"
"South-East Asia"," 1998","9.44 [9.11-9.76]","9.13 [8.55-9.53]","9.77 [9.16-10.2]","334 121 [322 587-345 495]","167 290 [156 578-174 650]","166 831 [156 356-174 150]"
"South-East Asia"," 1997","9.96 [9.62-10.29]","9.59 [8.97-10]","10.36 [9.71-10.8]","350 944 [338 767-362 529]","174 816 [163 487-182 281]","176 128 [165 035-183 636]"
"South-East Asia"," 1996","10.47 [10.1-10.8]","10.06 [9.4-10.48]","10.91 [10.22-11.35]","366 780 [353 931-378 619]","182 249 [170 154-189 809]","184 531 [172 905-192 133]"
