"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"South-East Asia"," 2001","4.98 [4.42-5.78]","170 422 [150 924-197 196]","90 928 [80 212-105 692]","79 494 [69 640-92 496]"
"South-East Asia"," 2000","5.14 [4.57-6.01]","174 773 [154 539-203 413]","92 760 [81 746-108 485]","82 013 [72 000-95 917]"
"South-East Asia"," 1999","5.32 [4.72-6.23]","179 450 [158 433-209 856]","94 540 [83 393-111 084]","84 910 [74 586-99 590]"
"South-East Asia"," 1998","5.51 [4.9-6.44]","184 056 [163 069-215 458]","96 400 [84 881-113 472]","87 656 [77 141-102 908]"
"South-East Asia"," 1997","5.7 [5.06-6.66]","188 202 [166 735-219 979]","98 056 [86 433-115 280]","90 146 [79 246-105 788]"
"South-East Asia"," 1996","5.86 [5.21-6.82]","191 335 [169 346-223 477]","99 404 [87 513-116 551]","91 931 [80 818-108 014]"
"South-East Asia"," 1995","6.0 [5.33-6.96]","193 112 [170 445-224 701]","100 065 [87 920-116 736]","93 047 [81 547-108 677]"
"South-East Asia"," 1994","6.12 [5.44-7.08]","193 595 [169 959-223 876]","99 995 [87 684-116 024]","93 600 [81 936-108 966]"
"South-East Asia"," 1993","6.24 [5.52-7.18]","193 568 [169 683-223 118]","99 659 [87 271-115 485]","93 909 [81 765-108 668]"
"South-East Asia"," 1992","6.37 [5.59-7.31]","193 552 [169 086-222 791]","99 581 [86 767-115 019]","93 971 [81 586-108 735]"
"South-East Asia"," 1991","6.95 [6.07-7.96]","208 243 [181 520-240 156]","106 721 [92 465-123 635]","101 522 [87 929-117 333]"
"South-East Asia"," 1990","6.63 [5.76-7.65]","193 899 [167 895-225 593]","99 794 [86 056-116 375]","94 105 [81 022-110 066]"
"Europe"," 2021","","8 704 [8 457-8 987]","5 205 [5 040-5 387]","3 499 [3 387-3 634]"
"Europe"," 2020","0.78 [0.76-0.8]","8 794 [8 613-9 000]","5 267 [5 143-5 400]","3 527 [3 441-3 628]"
"Europe"," 2019","0.81 [0.79-0.82]","8 876 [8 736-9 036]","5 335 [5 235-5 442]","3 541 [3 469-3 623]"
"Europe"," 2018","0.83 [0.82-0.85]","8 955 [8 828-9 090]","5 389 [5 299-5 480]","3 566 [3 499-3 640]"
"Europe"," 2017","0.86 [0.85-0.87]","9 042 [8 920-9 167]","5 445 [5 358-5 531]","3 597 [3 533-3 666]"
