"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Americas"," 1997","30.83 [30.07-31.66]","33.66 [32.73-34.66]","27.86 [27.08-28.72]","490 359 [478 340-503 463]","273 622 [266 007-281 605]","216 737 [210 611-223 313]"
"Americas"," 1996","32.45 [31.64-33.32]","35.38 [34.41-36.44]","29.37 [28.54-30.26]","518 333 [505 399-532 129]","288 862 [280 858-297 343]","229 471 [222 935-236 302]"
"Americas"," 1995","34.13 [33.28-35.07]","37.16 [36.14-38.27]","30.94 [30.05-31.89]","547 280 [533 697-562 193]","304 566 [296 191-313 535]","242 714 [235 627-249 977]"
"Americas"," 1994","35.81 [34.92-36.79]","38.94 [37.86-40.12]","32.52 [31.57-33.52]","576 880 [562 578-592 681]","320 665 [311 760-330 238]","256 215 [248 777-264 012]"
"Americas"," 1993","37.55 [36.59-38.6]","40.77 [39.64-42.01]","34.15 [33.17-35.2]","606 790 [591 454-623 668]","336 879 [327 468-346 915]","269 911 [262 068-278 122]"
"Americas"," 1992","39.25 [38.23-40.34]","42.58 [41.39-43.87]","35.73 [34.69-36.84]","637 344 [620 883-655 099]","353 528 [343 500-364 004]","283 816 [275 461-292 524]"
"Americas"," 1991","41.02 [39.94-42.14]","44.5 [43.24-45.83]","37.35 [36.24-38.52]","668 593 [651 002-686 967]","370 765 [360 111-381 638]","297 828 [288 921-307 061]"
"Americas"," 1990","42.8 [41.65-44]","46.35 [45.02-47.76]","39.05 [37.88-40.3]","698 261 [679 458-718 009]","386 677 [375 435-398 306]","311 584 [302 154-321 459]"
"South-East Asia"," 2021","28.64 [26.47-31.18]","29.08 [26.83-31.73]","28.14 [25.92-30.77]","961 206 [888 403-1 046 623]","504 910 [465 712-550 774]","456 296 [420 080-498 677]"
"South-East Asia"," 2020","30.16 [28.17-32.46]","30.53 [28.45-32.94]","29.77 [27.69-32.17]","1 022 022 [954 548-1 100 198]","535 285 [498 804-577 508]","486 737 [452 732-525 999]"
"South-East Asia"," 2019","31.86 [30.05-33.98]","32.18 [30.24-34.38]","31.52 [29.6-33.75]","1 096 381 [1 033 738-1 169 346]","573 515 [538 906-612 771]","522 866 [490 881-559 798]"
"South-East Asia"," 2018","33.7 [32-35.66]","33.88 [32.07-35.89]","33.5 [31.7-35.57]","1 171 776 [1 112 619-1 240 156]","610 733 [578 021-646 695]","561 043 [530 900-595 683]"
"South-East Asia"," 2017","35.61 [34.02-37.43]","35.71 [33.98-37.6]","35.51 [33.79-37.47]","1 253 044 [1 196 947-1 316 952]","651 613 [620 113-686 036]","601 431 [572 196-634 528]"
"South-East Asia"," 2016","37.67 [36.11-39.4]","37.6 [35.93-39.41]","37.72 [35.99-39.6]","1 340 602 [1 285 047-1 401 933]","694 591 [663 564-727 797]","646 011 [616 233-677 946]"
"South-East Asia"," 2015","39.81 [38.23-41.48]","39.57 [37.9-41.35]","40.02 [38.29-41.88]","1 425 785 [1 369 257-1 485 578]","735 877 [704 483-768 490]","689 908 [659 667-721 504]"
"South-East Asia"," 2014","42.08 [40.5-43.76]","41.69 [40.01-43.44]","42.46 [40.71-44.32]","1 530 245 [1 472 778-1 591 409]","787 173 [755 107-819 859]","743 072 [712 069-775 136]"
"South-East Asia"," 2013","44.53 [42.89-46.28]","43.91 [42.21-45.73]","45.11 [43.26-47.02]","1 646 052 [1 585 311-1 710 326]","843 611 [809 982-877 486]","802 441 [768 744-835 435]"
"South-East Asia"," 2012","47.04 [45.31-48.88]","46.26 [44.49-48.14]","47.8 [45.9-49.81]","1 756 187 [1 691 714-1 824 603]","897 827 [862 797-933 353]","858 360 [823 655-893 529]"
"South-East Asia"," 2011","49.71 [47.87-51.71]","48.72 [46.89-50.7]","50.69 [48.71-52.82]","1 869 672 [1 800 850-1 944 243]","953 060 [916 552-990 831]","916 612 [880 225-954 183]"
"South-East Asia"," 2010","52.49 [50.57-54.61]","51.32 [49.43-53.39]","53.67 [51.59-55.92]","1 988 487 [1 915 913-2 068 560]","1 010 973 [973 247-1 050 698]","977 514 [938 908-1 017 358]"
"South-East Asia"," 2009","55.37 [53.35-57.66]","54.18 [52.23-56.42]","56.56 [54.38-58.99]","2 114 325 [2 037 757-2 200 773]","1 075 556 [1 036 083-1 118 622]","1 038 769 [997 909-1 082 081]"
"South-East Asia"," 2008","58.89 [56.79-61.3]","57.58 [55.56-59.9]","60.21 [57.98-62.76]","2 265 504 [2 184 845-2 357 947]","1 151 049 [1 109 816-1 196 388]","1 114 455 [1 072 302-1 160 814]"
"South-East Asia"," 2007","61.04 [58.89-63.49]","59.64 [57.53-61.97]","62.48 [60.17-65.07]","2 364 092 [2 280 874-2 458 473]","1 199 879 [1 156 726-1 245 822]","1 164 213 [1 120 568-1 211 652]"
"South-East Asia"," 2006","64.1 [61.88-66.55]","62.72 [60.55-65.13]","65.5 [63.12-68.09]","2 503 120 [2 416 347-2 598 502]","1 272 510 [1 227 592-1 320 464]","1 230 610 [1 185 109-1 278 229]"
"South-East Asia"," 2005","67.23 [64.95-69.69]","65.59 [63.38-67.98]","68.87 [66.45-71.52]","2 652 179 [2 562 330-2 749 245]","1 345 151 [1 298 567-1 392 627]","1 307 028 [1 260 032-1 355 798]"
"South-East Asia"," 2004","71.24 [68.96-73.74]","69.67 [67.41-72.12]","72.81 [70.38-75.48]","2 832 473 [2 742 465-2 931 365]","1 440 324 [1 392 739-1 489 559]","1 392 149 [1 344 613-1 441 940]"
"South-East Asia"," 2003","73.64 [71.32-76.13]","71.49 [69.2-73.89]","75.84 [73.38-78.51]","2 943 484 [2 851 435-3 042 925]","1 485 443 [1 436 917-1 533 944]","1 458 041 [1 409 595-1 507 854]"
"South-East Asia"," 2002","76.97 [74.64-79.49]","74.76 [72.44-77.28]","79.2 [76.71-81.9]","3 089 822 [2 996 981-3 190 149]","1 560 867 [1 511 161-1 611 595]","1 528 955 [1 479 799-1 579 350]"
"South-East Asia"," 2001","80.37 [78.01-82.93]","78.24 [75.89-80.78]","82.54 [80-85.31]","3 224 068 [3 130 364-3 325 776]","1 632 652 [1 582 961-1 684 197]","1 591 416 [1 541 509-1 643 140]"
"South-East Asia"," 2000","83.83 [81.43-86.43]","81.7 [79.35-84.24]","85.99 [83.46-88.79]","3 347 814 [3 252 558-3 451 320]","1 696 844 [1 646 753-1 747 735]","1 650 970 [1 601 370-1 703 096]"
"South-East Asia"," 1999","87.32 [84.88-89.99]","85.35 [82.96-87.96]","89.32 [86.73-92.18]","3 483 816 [3 387 436-3 590 046]","1 769 945 [1 719 422-1 822 531]","1 713 871 [1 663 104-1 767 111]"
"South-East Asia"," 1998","90.79 [88.34-93.5]","88.37 [85.94-90.99]","93.27 [90.61-96.16]","3 629 160 [3 531 992-3 736 972]","1 834 840 [1 783 621-1 887 810]","1 794 320 [1 742 208-1 848 511]"
"South-East Asia"," 1997","94.28 [91.78-97.05]","91.88 [89.36-94.6]","96.73 [94.02-99.7]","3 766 827 [3 667 118-3 876 855]","1 905 485 [1 852 229-1 960 013]","1 861 342 [1 808 382-1 917 006]"
"South-East Asia"," 1996","97.82 [95.22-100.62]","95.59 [92.95-98.4]","100.1 [97.3-103.17]","3 901 424 [3 798 290-4 012 218]","1 977 656 [1 922 524-2 034 268]","1 923 768 [1 869 545-1 981 461]"
"South-East Asia"," 1995","101.33 [98.69-104.19]","99.18 [96.45-102.08]","103.55 [100.62-106.64]","4 034 182 [3 929 734-4 147 086]","2 046 193 [1 989 864-2 104 797]","1 987 989 [1 931 588-2 046 605]"
