"","","Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2)","Number of neonatal deaths (0 to 27 days)"
"WHO region","Year"," Both sexes"," Both sexes"
"Eastern Mediterranean"," 2003","36.85 [35.44-38.48]","574 824 [552 789-600 232]"
"Eastern Mediterranean"," 2002","37.52 [36.08-39.15]","578 294 [556 123-603 454]"
"Eastern Mediterranean"," 2001","38.19 [36.75-39.85]","581 845 [560 019-607 113]"
"Eastern Mediterranean"," 2000","38.97 [37.5-40.64]","585 783 [563 743-610 896]"
"Eastern Mediterranean"," 1999","39.74 [38.23-41.43]","591 011 [568 573-616 021]"
"Eastern Mediterranean"," 1998","40.44 [38.95-42.16]","594 687 [572 819-619 923]"
"Eastern Mediterranean"," 1997","41.13 [39.6-42.88]","598 776 [576 378-624 207]"
"Eastern Mediterranean"," 1996","41.76 [40.18-43.55]","605 159 [582 351-631 049]"
"Eastern Mediterranean"," 1995","42.25 [40.65-44.07]","611 629 [588 512-637 996]"
"Eastern Mediterranean"," 1994","42.67 [41.04-44.52]","618 432 [594 794-645 184]"
"Eastern Mediterranean"," 1993","42.88 [41.22-44.79]","621 038 [597 046-648 600]"
"Eastern Mediterranean"," 1992","43.26 [41.48-45.18]","627 258 [601 409-655 036]"
"Eastern Mediterranean"," 1991","43.72 [41.83-45.66]","631 216 [603 912-659 171]"
"Eastern Mediterranean"," 1990","44.21 [42.16-46.25]","635 203 [605 734-664 476]"
"Western Pacific"," 2021","5.58 [4.9-6.58]","99 066 [87 003-116 767]"
"Western Pacific"," 2020","5.66 [5.06-6.52]","108 449 [96 918-124 913]"
"Western Pacific"," 2019","5.67 [5.15-6.39]","122 329 [110 989-137 763]"
"Western Pacific"," 2018","5.87 [5.39-6.51]","132 357 [121 482-146 753]"
"Western Pacific"," 2017","5.98 [5.53-6.54]","152 248 [140 811-166 465]"
"Western Pacific"," 2016","6.32 [5.87-6.85]","160 543 [149 082-174 012]"
"Western Pacific"," 2015","6.73 [6.27-7.26]","166 261 [155 003-179 390]"
"Western Pacific"," 2014","7.06 [6.6-7.58]","183 449 [171 510-196 960]"
"Western Pacific"," 2013","7.52 [7.04-8.04]","192 244 [179 928-205 602]"
"Western Pacific"," 2012","7.94 [7.43-8.49]","210 039 [196 536-224 558]"
"Western Pacific"," 2011","8.49 [7.97-9.06]","212 339 [199 179-226 640]"
"Western Pacific"," 2010","9.07 [8.5-9.7]","228 320 [213 874-243 998]"
"Western Pacific"," 2009","9.74 [9.11-10.39]","246 284 [230 306-262 750]"
"Western Pacific"," 2008","10.48 [9.79-11.19]","261 679 [244 476-279 477]"
"Western Pacific"," 2007","11.33 [10.56-12.1]","276 442 [257 872-295 347]"
"Western Pacific"," 2006","12.28 [11.46-13.1]","294 132 [274 431-313 873]"
"Western Pacific"," 2005","13.31 [12.41-14.24]","314 435 [293 280-336 444]"
"Western Pacific"," 2004","14.38 [13.45-15.38]","337 866 [315 926-361 374]"
"Western Pacific"," 2003","15.51 [14.51-16.59]","360 683 [337 325-385 749]"
"Western Pacific"," 2002","16.66 [15.57-17.84]","389 725 [364 323-417 448]"
"Western Pacific"," 2001","17.77 [16.61-19.02]","419 645 [392 249-449 196]"
"Western Pacific"," 2000","18.87 [17.6-20.25]","463 235 [432 050-497 111]"
"Western Pacific"," 1999","19.67 [18.33-21.1]","469 152 [437 288-503 229]"
"Western Pacific"," 1998","20.49 [19.1-21.99]","495 641 [461 995-531 903]"
"Western Pacific"," 1997","21.4 [19.92-22.95]","530 391 [493 659-568 763]"
"Western Pacific"," 1996","22.37 [20.83-23.94]","569 879 [530 713-609 867]"
"Western Pacific"," 1995","23.32 [21.73-25.04]","613 649 [571 815-658 947]"
"Western Pacific"," 1994","24.17 [22.49-25.99]","653 077 [607 739-702 473]"
"Western Pacific"," 1993","24.98 [23.23-26.92]","694 446 [645 789-748 508]"
"Western Pacific"," 1992","25.62 [23.69-27.76]","738 626 [683 079-800 340]"
"Western Pacific"," 1991","26.2 [24.07-28.58]","801 477 [736 409-874 524]"
"Western Pacific"," 1990","26.94 [24.37-29.85]","963 559 [871 598-1 067 313]"
